food_id,food_name,meal_type,calories,protein,carbs,fat,serving_size,category,suitable_diets,not_suitable_for,allergens,cuisine
1,Oatmeal,breakfast,370,13,60,7,100g,grain,Balanced|Diabetic_Friendly|Heart_Healthy,Low_Carb,Gluten,Western
2,Boiled Egg,breakfast,78,6,0.6,5,1 piece,protein,Balanced|Low_Carb|High_Protein|Keto,Vegan,Egg,Any
3,Scrambled Eggs,breakfast,150,10,1.5,11,2 eggs,protein,Balanced|Low_Carb|High_Protein|Keto,Vegan,Egg|Milk,Western
4,Menemen,breakfast,120,6,7,8,100g,protein,Balanced|Low_Carb|Mediterranean,Vegan,Egg,Turkish
5,Whole Wheat Bread,breakfast,247,13,41,4.2,100g,grain,Balanced|Heart_Healthy,Low_Carb|Keto|Gluten_Free,Gluten,Any
6,White Cheese,breakfast,264,17,4,21,100g,dairy,Balanced|Low_Carb|High_Protein|Mediterranean,Vegan|Low_Sodium,Milk,Turkish
7,Cottage Cheese,breakfast,98,11,3.4,4.3,100g,dairy,Balanced|Low_Carb|High_Protein,Vegan,Milk,Western
8,Avocado Toast,breakfast,220,6,24,12,1 slice,fat,Balanced|Heart_Healthy|Mediterranean,Low_Carb|Keto,Gluten,Western
9,Peanut Butter Toast,breakfast,260,10,28,13,1 slice,fat,Balanced|High_Calorie,Low_Carb|Nut_Allergy,Peanuts|Gluten,Western
10,Pancake,breakfast,227,6,28,10,100g,dessert,Balanced,Diabetic_Friendly|Low_Carb|Keto,Gluten|Egg|Milk,Western
11,Granola,breakfast,471,10,64,20,100g,grain,Balanced|High_Calorie,Low_Carb|Diabetic_Friendly,Gluten|Nuts,Western
12,Cornflakes,breakfast,357,8,84,0.4,100g,grain,Balanced,Low_Carb|Diabetic_Friendly,Gluten,Western
13,Greek Yogurt With Berries,breakfast,95,9,10,1.5,100g,dairy,Balanced|High_Protein|Mediterranean,Vegan,Milk,Mediterranean
14,Simit,breakfast,430,12,70,12,1 piece,grain,Balanced|High_Calorie,Low_Carb|Keto|Diabetic_Friendly|Gluten_Free,Gluten|Sesame,Turkish
